column,total_rows,non_null_count,missing_count,missing_ratio
高收益债利差,5135,802,4333,0.8438169425511197
CBOE_ETP_PCR,5135,1693,3442,0.6703018500486855
CBOE_Equity_PCR,5135,1693,3442,0.6703018500486855
CBOE_Index_PCR,5135,1693,3442,0.6703018500486855
CBOE_SPX_PCR,5135,1693,3442,0.6703018500486855
CBOE_Total_PCR,5135,1693,3442,0.6703018500486855
CBOE_VIX_PCR,5135,1693,3442,0.6703018500486855
VIX9D_9日波动率,5135,3894,1241,0.24167478091528724
ACWI_全球股票代理,5135,4595,540,0.10516066212268745
VIX6M_6个月波动率,5135,4651,484,0.09425511197663096
SKEW_尾部风险指数,5135,4981,154,0.029990262901655306
美国Baa公司债利差_10Y,5135,5011,124,0.02414800389483934
美国10Y实际利率,5135,5016,119,0.02317429406037001
美国10Y收益率,5135,5016,119,0.02317429406037001
美国3M国债收益率_现金代理,5135,5016,119,0.02317429406037001
10Y通胀预期,5135,5017,118,0.022979552093476144
VIX3M_3个月波动率,5135,5019,116,0.022590068159688413
广义美元指数,5135,5019,116,0.022590068159688413
EUR_USD,5135,5020,115,0.022395326192794548
JPY_USD,5135,5020,115,0.022395326192794548
USD_CNY,5135,5020,115,0.022395326192794548
WTI原油,5135,5030,105,0.02044790652385589
罗素2000波动率,5135,5044,91,0.017721518987341773
DIA_道琼斯代理,5135,5045,90,0.017526777020447908
GLD_黄金代理,5135,5045,90,0.017526777020447908
IWM_罗素2000代理,5135,5045,90,0.017526777020447908
QQQ_纳指100代理,5135,5045,90,0.017526777020447908
SPY_标普500代理,5135,5045,90,0.017526777020447908
TLT_长债代理,5135,5045,90,0.017526777020447908
黄金期货,5135,5045,90,0.017526777020447908
纳指100波动率,5135,5046,89,0.017332035053554042
道琼斯波动率,5135,5047,88,0.017137293086660177
标普500波动率,5135,5075,60,0.011684518013631937
date,5135,5135,0,0.0
