date,CBOE_Total_PCR,CBOE_Index_PCR,CBOE_ETP_PCR,CBOE_Equity_PCR,CBOE_VIX_PCR,CBOE_SPX_PCR
2019-10-07,1.05,1.05,1.89,0.7,0.16,1.75
2019-10-08,1.01,1.12,1.39,0.65,0.56,1.71
2019-10-09,1.03,1.35,1.23,0.59,0.35,2.3
2019-10-10,0.99,1.44,1.14,0.58,0.73,1.72
2019-10-11,0.94,1.44,0.83,0.56,1.12,1.77
2019-10-14,1.15,1.51,1.44,0.61,0.92,1.99
2019-10-15,1.01,1.6,0.98,0.55,1.14,1.97
2019-10-16,0.92,1.29,0.74,0.63,0.51,1.75
2019-10-17,0.91,1.16,1.2,0.6,0.35,1.6
2019-10-18,1.14,1.33,2.13,0.69,0.34,1.75
2019-10-21,0.94,1.41,1.16,0.61,0.37,1.72
2019-10-22,0.95,1.49,1.39,0.61,0.53,1.97
2019-10-23,0.87,1.12,0.94,0.69,0.11,1.81
2019-10-24,0.78,0.99,0.75,0.68,0.18,1.55
2019-10-25,0.82,1.04,1.1,0.56,0.44,1.41
2019-10-28,0.79,1.14,0.65,0.51,0.49,1.73
2019-10-29,0.85,1.26,1.01,0.55,0.17,1.97
2019-10-30,0.97,1.26,1.37,0.6,0.99,1.91
2019-10-31,1.16,1.26,2.16,0.71,0.79,1.72
2019-11-01,0.74,1.01,0.76,0.53,0.53,1.2
2019-11-04,0.65,0.75,0.72,0.54,0.16,1.18
2019-11-05,0.85,1.05,1.37,0.58,0.43,1.62
2019-11-06,0.93,1.36,1.15,0.63,1.17,1.7
2019-11-07,0.66,0.82,0.71,0.54,0.57,0.99
2019-11-08,0.94,1.36,1.4,0.59,0.65,1.89
2019-11-11,0.91,1.34,1.04,0.61,0.48,1.66
2019-11-12,0.88,1.15,1.26,0.59,0.44,1.85
2019-11-13,1.0,1.45,1.68,0.58,0.7,1.98
2019-11-14,0.92,1.19,2.16,0.47,0.38,1.97
2019-11-15,0.84,1.16,1.32,0.49,0.89,1.43
2019-11-18,0.84,1.14,1.2,0.55,0.8,1.4
2019-11-19,1.08,1.86,1.32,0.58,1.98,1.8
2019-11-20,1.0,1.27,1.39,0.64,0.62,1.96
2019-11-21,1.21,2.16,1.97,0.59,1.05,2.59
2019-11-22,0.96,1.71,1.02,0.58,1.63,2.0
2019-11-25,0.94,1.19,1.24,0.63,0.47,1.71
2019-11-26,1.05,1.05,2.37,0.57,0.31,1.58
2019-11-27,0.94,1.03,1.83,0.58,0.35,1.22
2019-11-29,0.96,1.3,1.15,0.59,0.11,2.03
2019-12-02,0.99,1.34,0.92,0.66,0.61,1.81
2019-12-03,1.13,1.41,1.58,0.7,0.91,1.65
2019-12-04,0.98,1.45,1.26,0.54,0.92,1.8
2019-12-05,1.08,1.62,1.63,0.65,0.53,2.01
2019-12-06,0.88,1.23,1.14,0.53,0.56,1.55
2019-12-09,1.02,1.54,1.06,0.64,0.79,2.3
2019-12-10,0.98,1.3,0.83,0.76,0.71,1.99
2019-12-11,0.98,1.45,1.33,0.52,1.43,1.67
2019-12-12,0.72,1.11,0.72,0.45,0.73,1.29
2019-12-13,1.1,1.79,0.89,0.55,1.98,1.85
2019-12-16,0.87,1.09,0.91,0.61,1.41,1.27
2019-12-17,0.63,0.7,0.71,0.53,0.37,1.53
2019-12-18,1.06,1.21,2.56,0.49,0.46,2.07
2019-12-19,0.78,1.14,0.95,0.54,0.53,1.35
2019-12-20,0.79,1.1,1.33,0.46,0.63,1.26
2019-12-23,0.8,1.2,0.98,0.54,0.22,1.52
2019-12-24,0.8,1.88,0.71,0.52,0.46,2.23
2019-12-26,0.79,1.67,1.1,0.43,0.28,1.9
2019-12-27,0.87,1.29,0.91,0.6,0.57,1.71
2019-12-30,0.9,1.25,0.94,0.59,1.01,1.46
2019-12-31,0.96,1.22,1.22,0.56,0.75,1.51
2020-01-02,0.83,1.3,0.99,0.54,0.48,1.88
2020-01-03,0.85,1.36,0.75,0.55,0.54,2.1
2020-01-06,0.83,1.28,0.78,0.54,0.46,1.89
2020-01-07,0.83,1.21,1.66,0.44,0.4,1.79
2020-01-08,0.76,1.01,1.06,0.47,0.28,1.51
2020-01-09,0.66,0.85,0.71,0.49,0.25,1.36
2020-01-10,0.86,1.39,0.92,0.52,0.67,1.99
2020-01-13,0.76,1.11,1.09,0.47,0.36,1.55
2020-01-14,0.76,1.2,1.0,0.47,0.44,1.73
2020-01-15,0.75,1.11,0.95,0.44,0.17,1.68
2020-01-16,0.71,0.84,0.99,0.47,0.18,1.62
2020-01-17,0.66,0.78,0.93,0.48,0.25,1.45
2020-01-21,0.83,1.18,0.91,0.59,0.6,1.88
2020-01-22,0.82,1.14,1.11,0.52,0.38,1.94
2020-01-23,0.76,1.09,0.86,0.54,0.29,1.97
2020-01-24,1.1,1.59,1.29,0.7,0.82,2.25
2020-01-27,1.01,1.3,1.19,0.64,0.52,1.95
2020-01-28,0.8,1.03,1.05,0.55,0.32,1.69
2020-01-29,0.83,1.44,1.26,0.5,0.62,2.0
2020-01-30,0.86,1.22,0.99,0.61,0.42,1.69
2020-01-31,1.07,1.15,1.46,0.74,0.46,1.82
2020-02-03,0.72,1.15,0.62,0.5,0.33,1.89
2020-02-04,0.82,1.35,1.15,0.46,0.59,1.7
2020-02-05,0.94,1.23,1.77,0.51,0.42,1.56
2020-02-06,0.71,0.93,1.07,0.47,0.53,1.52
2020-02-07,0.95,1.34,1.6,0.56,0.54,1.94
2020-02-10,0.84,1.36,1.25,0.46,0.55,1.83
2020-02-11,0.72,0.93,0.95,0.45,0.69,1.38
2020-02-12,0.7,1.02,0.74,0.48,0.23,1.76
2020-02-13,0.8,1.15,0.95,0.55,0.39,1.88
2020-02-14,0.83,1.1,1.14,0.58,0.42,1.67
2020-02-18,0.78,1.06,0.84,0.51,0.48,1.79
2020-02-19,0.81,1.35,0.92,0.45,0.33,2.04
2020-02-20,0.84,1.22,1.11,0.51,0.49,1.82
2020-02-21,1.15,1.6,1.45,0.73,0.85,2.08
2020-02-24,1.09,1.18,1.47,0.7,0.44,2.15
2020-02-25,1.31,1.3,1.99,0.8,0.55,2.38
2020-02-26,1.23,1.49,1.75,0.65,0.74,2.05
2020-02-27,1.31,1.59,1.48,0.86,0.72,2.35
2020-02-28,1.27,1.51,1.33,0.85,0.65,2.19
2020-03-02,1.29,1.7,1.32,0.76,2.49,1.54
2020-03-03,0.8,0.71,1.12,0.73,0.39,1.29
2020-03-04,1.25,1.17,2.6,0.64,0.75,1.33
2020-03-05,0.88,0.83,1.1,0.78,0.39,1.9
2020-03-06,1.18,1.4,1.1,0.89,0.88,2.29
2020-03-09,1.83,2.3,1.79,1.12,2.31,2.33
2020-03-10,1.19,1.6,1.05,0.75,1.16,1.9
2020-03-11,1.36,1.59,1.23,1.02,1.1,2.27
2020-03-12,1.46,1.41,1.79,1.28,1.17,1.56
2020-03-13,1.27,1.36,1.4,1.0,1.04,1.58
2020-03-16,1.28,1.25,1.53,1.1,0.82,1.75
2020-03-17,1.01,0.99,1.35,0.86,0.35,2.03
2020-03-18,1.33,1.58,1.3,0.98,0.7,2.48
2020-03-19,1.12,1.33,1.08,0.88,1.37,1.3
2020-03-20,1.23,1.47,1.42,0.83,1.61,1.42
2020-03-23,1.09,1.66,1.07,0.62,2.67,1.36
2020-03-24,0.88,1.07,1.02,0.63,1.0,1.16
2020-03-25,0.95,1.06,1.25,0.65,0.91,1.11
