date,CBOE_Total_Call_Volume,CBOE_Total_Put_Volume,CBOE_Total_Total_Volume,CBOE_Total_PCR_Calculated,CBOE_Total_PCR_Diff,CBOE_Index_Call_Volume,CBOE_Index_Put_Volume,CBOE_Index_Total_Volume,CBOE_Index_PCR_Calculated,CBOE_Index_PCR_Diff,CBOE_ETP_Call_Volume,CBOE_ETP_Put_Volume,CBOE_ETP_Total_Volume,CBOE_ETP_PCR_Calculated,CBOE_ETP_PCR_Diff,CBOE_Equity_Call_Volume,CBOE_Equity_Put_Volume,CBOE_Equity_Total_Volume,CBOE_Equity_PCR_Calculated,CBOE_Equity_PCR_Diff,CBOE_VIX_Call_Volume,CBOE_VIX_Put_Volume,CBOE_VIX_Total_Volume,CBOE_VIX_PCR_Calculated,CBOE_VIX_PCR_Diff,CBOE_SPX_Call_Volume,CBOE_SPX_Put_Volume,CBOE_SPX_Total_Volume,CBOE_SPX_PCR_Calculated,CBOE_SPX_PCR_Diff
2019-10-07,1456874.0,1534921.0,2991795.0,1.05,0.0,737331.0,772590.0,1509921.0,1.05,0.0,219972.0,414850.0,634822.0,1.89,0.0,499571.0,347481.0,847052.0,0.7,0.0,261136.0,43027.0,304163.0,0.16,0.0,403679.0,705496.0,1109175.0,1.75,0.0
2019-10-08,2024459.0,2042975.0,4067434.0,1.01,0.0,921019.0,1035046.0,1956065.0,1.12,0.0,389944.0,541503.0,931447.0,1.39,0.0,713496.0,466426.0,1179922.0,0.65,0.0,445728.0,247925.0,693653.0,0.56,0.0,441902.0,755753.0,1197655.0,1.71,0.0
2019-10-09,1485876.0,1528717.0,3014593.0,1.03,0.0,618817.0,836592.0,1455409.0,1.35,0.0,280307.0,346082.0,626389.0,1.23,0.0,586752.0,346043.0,932795.0,0.59,0.0,200325.0,69473.0,269798.0,0.35,0.0,325805.0,748860.0,1074665.0,2.3,0.0
2019-10-10,1793569.0,1784523.0,3578092.0,0.99,0.0,660271.0,948003.0,1608274.0,1.44,0.0,314853.0,359974.0,674827.0,1.14,0.0,818445.0,476546.0,1294991.0,0.58,0.0,187442.0,136257.0,323699.0,0.73,0.0,458875.0,788029.0,1246904.0,1.72,0.0
2019-10-11,3146912.0,2954207.0,6101119.0,0.94,0.0,1099810.0,1587372.0,2687182.0,1.44,0.0,849454.0,702128.0,1551582.0,0.83,0.0,1197648.0,664707.0,1862355.0,0.56,0.0,381250.0,428126.0,809376.0,1.12,0.0,627474.0,1112661.0,1740135.0,1.77,0.0
2019-10-14,1719061.0,1982125.0,3701186.0,1.15,0.0,803953.0,1211384.0,2015337.0,1.51,0.0,254457.0,366520.0,620977.0,1.44,0.0,660651.0,404221.0,1064872.0,0.61,0.0,335507.0,308027.0,643534.0,0.92,0.0,391171.0,776702.0,1167873.0,1.99,0.0
2019-10-15,2404579.0,2430997.0,4835576.0,1.01,0.0,850824.0,1361435.0,2212259.0,1.6,0.0,484397.0,476542.0,960939.0,0.98,0.0,1069358.0,593020.0,1662378.0,0.55,0.0,349685.0,398312.0,747997.0,1.14,0.0,467712.0,922795.0,1390507.0,1.97,0.0
2019-10-16,2197093.0,2010830.0,4207923.0,0.92,0.0,890051.0,1146705.0,2036756.0,1.29,0.0,371016.0,275759.0,646775.0,0.74,0.0,936026.0,588366.0,1524392.0,0.63,0.0,247946.0,126487.0,374433.0,0.51,0.0,568279.0,991705.0,1559984.0,1.75,0.0
2019-10-17,2212160.0,2010796.0,4222956.0,0.91,0.0,749072.0,870533.0,1619605.0,1.16,0.0,443707.0,530341.0,974048.0,1.2,0.0,1019381.0,609922.0,1629303.0,0.6,0.0,253390.0,87938.0,341328.0,0.35,0.0,465314.0,744226.0,1209540.0,1.6,0.0
2019-10-18,2393394.0,2726507.0,5119901.0,1.14,0.0,750025.0,997715.0,1747740.0,1.33,0.0,415466.0,883151.0,1298617.0,2.13,0.0,1227903.0,845641.0,2073544.0,0.69,0.0,155466.0,53445.0,208911.0,0.34,0.0,521556.0,912277.0,1433833.0,1.75,0.0
2019-10-21,1874419.0,1752638.0,3627057.0,0.94,0.0,556316.0,784481.0,1340797.0,1.41,0.0,296399.0,344456.0,640855.0,1.16,0.0,1021704.0,623701.0,1645405.0,0.61,0.0,122608.0,44941.0,167549.0,0.37,0.0,347893.0,600078.0,947971.0,1.72,0.0
2019-10-22,1830373.0,1745667.0,3576040.0,0.95,0.0,430554.0,642798.0,1073352.0,1.49,0.0,327529.0,453949.0,781478.0,1.39,0.0,1072290.0,648920.0,1721210.0,0.61,0.0,137456.0,72604.0,210060.0,0.53,0.0,272081.0,536921.0,809002.0,1.97,0.0
2019-10-23,1855272.0,1605345.0,3460617.0,0.87,0.0,569355.0,637056.0,1206411.0,1.12,0.0,328934.0,308037.0,636971.0,0.94,0.0,956983.0,660252.0,1617235.0,0.69,0.0,167406.0,18435.0,185841.0,0.11,0.0,323743.0,586599.0,910342.0,1.81,0.0
2019-10-24,2079538.0,1614734.0,3694272.0,0.78,0.0,547863.0,544344.0,1092207.0,0.99,0.0,425948.0,319337.0,745285.0,0.75,0.0,1105727.0,751053.0,1856780.0,0.68,0.0,216145.0,38328.0,254473.0,0.18,0.0,310362.0,479530.0,789892.0,1.55,0.0
2019-10-25,2459422.0,2027933.0,4487355.0,0.82,0.0,768301.0,797605.0,1565906.0,1.04,0.0,517193.0,568848.0,1086041.0,1.1,0.0,1173928.0,661480.0,1835408.0,0.56,0.0,214279.0,94405.0,308684.0,0.44,0.0,475957.0,669232.0,1145189.0,1.41,0.0
2019-10-28,2120174.0,1672719.0,3792893.0,0.79,0.0,840880.0,960269.0,1801149.0,1.14,0.0,409804.0,265545.0,675349.0,0.65,0.0,869490.0,446905.0,1316395.0,0.51,0.0,212876.0,104411.0,317287.0,0.49,0.0,457566.0,791340.0,1248906.0,1.73,0.0
2019-10-29,2116830.0,1789135.0,3905965.0,0.85,0.0,647058.0,813633.0,1460691.0,1.26,0.0,361463.0,363759.0,725222.0,1.01,0.0,1108309.0,611743.0,1720052.0,0.55,0.0,290465.0,49659.0,340124.0,0.17,0.0,319303.0,627555.0,946858.0,1.97,0.0
2019-10-30,2360840.0,2292241.0,4653081.0,0.97,0.0,832282.0,1051570.0,1883852.0,1.26,0.0,416165.0,570779.0,986944.0,1.37,0.0,1112393.0,669892.0,1782285.0,0.6,0.0,261601.0,257848.0,519449.0,0.99,0.0,391641.0,746745.0,1138386.0,1.91,0.0
2019-10-31,2506758.0,2904060.0,5410818.0,1.16,0.0,953663.0,1201863.0,2155526.0,1.26,0.0,414109.0,894292.0,1308401.0,2.16,0.0,1138986.0,807905.0,1946891.0,0.71,0.0,205112.0,162484.0,367596.0,0.79,0.0,559784.0,960243.0,1520027.0,1.72,0.0
2019-11-01,2907311.0,2144200.0,5051511.0,0.74,0.0,942139.0,950942.0,1893081.0,1.01,0.0,654750.0,499380.0,1154130.0,0.76,0.0,1310422.0,693878.0,2004300.0,0.53,0.0,239553.0,125896.0,365449.0,0.53,0.0,647528.0,777619.0,1425147.0,1.2,0.0
2019-11-04,3367065.0,2183769.0,5550834.0,0.65,0.0,1079238.0,811661.0,1890899.0,0.75,0.0,808864.0,580824.0,1389688.0,0.72,0.0,1478963.0,791284.0,2270247.0,0.54,0.0,338898.0,52972.0,391870.0,0.16,0.0,579437.0,682282.0,1261719.0,1.18,0.0
2019-11-05,2293813.0,1960547.0,4254360.0,0.85,0.0,674214.0,709372.0,1383586.0,1.05,0.0,394299.0,539627.0,933926.0,1.37,0.0,1225300.0,711548.0,1936848.0,0.58,0.0,258621.0,112013.0,370634.0,0.43,0.0,336680.0,544571.0,881251.0,1.62,0.0
2019-11-06,2111640.0,1968039.0,4079679.0,0.93,0.0,567844.0,774310.0,1342154.0,1.36,0.0,433650.0,497129.0,930779.0,1.15,0.0,1110146.0,696600.0,1806746.0,0.63,0.0,155918.0,181789.0,337707.0,1.17,0.0,334484.0,568499.0,902983.0,1.7,0.0
2019-11-07,2964545.0,1957857.0,4922402.0,0.66,0.0,888006.0,731096.0,1619102.0,0.82,0.0,669907.0,473216.0,1143123.0,0.71,0.0,1406632.0,753545.0,2160177.0,0.54,0.0,234180.0,133447.0,367627.0,0.57,0.0,577766.0,569572.0,1147338.0,0.99,0.0
2019-11-08,2209608.0,2071254.0,4280862.0,0.94,0.0,604782.0,820746.0,1425528.0,1.36,0.0,370663.0,518357.0,889020.0,1.4,0.0,1234163.0,732151.0,1966314.0,0.59,0.0,159822.0,103326.0,263148.0,0.65,0.0,363442.0,686433.0,1049875.0,1.89,0.0
2019-11-11,1872489.0,1697766.0,3570255.0,0.91,0.0,572862.0,764967.0,1337829.0,1.34,0.0,330543.0,342325.0,672868.0,1.04,0.0,969084.0,590474.0,1559558.0,0.61,0.0,162172.0,77531.0,239703.0,0.48,0.0,343431.0,570408.0,913839.0,1.66,0.0
2019-11-12,2239910.0,1973569.0,4213479.0,0.88,0.0,696964.0,801632.0,1498596.0,1.15,0.0,383648.0,483407.0,867055.0,1.26,0.0,1159298.0,688530.0,1847828.0,0.59,0.0,333963.0,145308.0,479271.0,0.44,0.0,342875.0,633940.0,976815.0,1.85,0.0
2019-11-13,2108495.0,2109083.0,4217578.0,1.0,0.0,663039.0,961529.0,1624568.0,1.45,0.0,284576.0,478947.0,763523.0,1.68,0.0,1160880.0,668607.0,1829487.0,0.58,0.0,178453.0,125588.0,304041.0,0.7,0.0,409822.0,811396.0,1221218.0,1.98,0.0
2019-11-14,2378203.0,2198900.0,4577103.0,0.92,0.0,770692.0,913565.0,1684257.0,1.19,0.0,313438.0,676024.0,989462.0,2.16,0.0,1294073.0,609311.0,1903384.0,0.47,0.0,349322.0,131029.0,480351.0,0.38,0.0,387235.0,760941.0,1148176.0,1.97,0.0
2019-11-15,3173529.0,2664666.0,5838195.0,0.84,0.0,1092019.0,1263863.0,2355882.0,1.16,0.0,461999.0,608777.0,1070776.0,1.32,0.0,1619511.0,792026.0,2411537.0,0.49,0.0,398613.0,352861.0,751474.0,0.89,0.0,611676.0,877423.0,1489099.0,1.43,0.0
2019-11-18,2474914.0,2069328.0,4544242.0,0.84,0.0,854788.0,971021.0,1825809.0,1.14,0.0,315779.0,378055.0,693834.0,1.2,0.0,1304347.0,720252.0,2024599.0,0.55,0.0,224419.0,180059.0,404478.0,0.8,0.0,456981.0,641210.0,1098191.0,1.4,0.0
2019-11-19,2073734.0,2231330.0,4305064.0,1.08,0.0,607180.0,1130856.0,1738036.0,1.86,0.0,339971.0,448461.0,788432.0,1.32,0.0,1126583.0,652013.0,1778596.0,0.58,0.0,275452.0,544556.0,820008.0,1.98,0.0,309592.0,555732.0,865324.0,1.8,0.0
